Y16	Y15	Y14	Y13	Y12	Y11	Y10	Y9	Y8	Y7	Y6	Y5	Y4	Y3	Y2	Y1	COUNT	PERCENT
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3853	17.859460462
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0.0185408362
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	0.0417168814
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	19	0.0880689719
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0.004635209
0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	8	0.0370816724
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	32	0.1483266895
0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0.004635209
0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0.0139056271
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	216	1.0012051544
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0.004635209
0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3	0.0139056271
0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0.004635209
0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	7	0.0324464633
0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	7	0.0324464633
0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	6	0.0278112543
0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	3	0.0139056271
0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	2	0.0092704181
0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0.004635209
0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0.004635209
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	22	0.1019745991
0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0.0139056271
0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0.004635209
0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0.004635209
0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0.004635209
0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0.004635209
0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0.004635209
0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	26	0.1205154352
0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	3	0.0139056271
0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	4	0.0185408362
0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	4	0.0185408362
0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	2	0.0092704181
0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	3	0.0139056271
0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0.004635209
0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0.004635209
0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	5	0.0231760452
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1107	5.1311764161
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0.0092704181
0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	13	0.0602577176
0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	20	0.092704181
0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	2	0.0092704181
0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	27	0.1251506443
0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0.004635209
0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0.004635209
0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	2	0.0092704181
0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	188	0.871419301
0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0.004635209
0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	6	0.0278112543
0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	9	0.0417168814
